family,subspecies,host
Atopobiaceae,S__GCA_902793195.1,Bos taurus (Cattle)
Atopobiaceae,S__GCA_017510875.1,Bos taurus (Cattle)
Atopobiaceae,S__GCA_902758085.1,Bos taurus (Cattle)
Atopobiaceae,S__GCA_902780305.1,Bos taurus (Cattle)
Atopobiaceae,S__GCA_902764955.1,Bos taurus (Cattle)
Atopobiaceae,S__GCA_902793465.1,Bos taurus (Cattle)
Atopobiaceae,S__GCA_002449555.1,Ovis (sheep)
Atopobiaceae,S__GCA_017460265.1,Other
Atopobiaceae,S__GCA_017941705.1,Other
Atopobiaceae,S__GCA_902788705.1,Bos taurus (Cattle)
Atopobiaceae,S__3300028048_46,Bos taurus (Cattle)
Atopobiaceae,S__GCA_902786015.1,Bos taurus (Cattle)
Atopobiaceae,S__GCA_018376165.1,Homo sapiens
Atopobiaceae,S__GCA_900540955.1,Homo sapiens
Atopobiaceae,S__GCA_902772085.1,Bos taurus (Cattle)
Eggerthellaceae,S__GCA_017511465.1,Ovis (sheep)
Eggerthellaceae,S__GCA_902780685.1,Bos taurus (Cattle)
Eggerthellaceae,S__GCA_902781245.1,Bos taurus (Cattle)
Eggerthellaceae,S__GCA_015062605.1,Capra (Goat)
Eggerthellaceae,S__3300021326_23,Capra (Goat)
Eggerthellaceae,S__GCA_902764575.1,Bos taurus (Cattle)
Eggerthellaceae,S__GCA_902788545.1,Bos taurus (Cattle)
Eggerthellaceae,S__GCA_905234785.1,Bos taurus (Cattle)
Eggerthellaceae,S__GCA_015062635.1,Other
Eggerthellaceae,S__GCA_017434045.1,Capra (Goat)
Lachnospiraceae,S__GCF_900101015.1,Other
Lachnospiraceae,S__GCA_902777355.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCA_902801415.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCA_902788035.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCA_902801585.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCA_902798065.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCA_902779635.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCA_017510065.1,Ovis (sheep)
Lachnospiraceae,S__GCA_900321785.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCA_902786735.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCF_900111235.1,Ovis (sheep)
Lachnospiraceae,S__GCF_003609635.1,Ovis (sheep)
Lachnospiraceae,S__GCA_902760435.1,Bos taurus (Cattle)
Lachnospiraceae,S__GCF_002251225.2,Environmental (aquatic)
Lachnospiraceae,S__GCF_003201285.1,Other
Methanobrevibacter,S__GCA_016291275.1,Bos taurus (Cattle)
Methanobrevibacter,S__3300010282_39,Other
Methanobrevibacter,S__GCA_015062985.1,Capra (Goat)
Methanobrevibacter,S__GCA_902756745.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902800455.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_900318035.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902765105.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902764015.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902801725.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_015062905.1,Capra (Goat)
Methanobrevibacter,S__GCA_017432245.1,Capra (Goat)
Methanobrevibacter,S__GCA_902774685.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCF_900103415.1,Other
Methanobrevibacter,S__GCF_001548675.1,Bos (other)
Methanobrevibacter,S__GCA_017553445.1,Other
Methanobrevibacter,S__GCA_002509015.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902764425.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902781165.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_900319985.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_002498445.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902771435.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902777885.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902789505.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_900314695.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCF_003111625.1,Bos (other)
Methanobrevibacter,S__GCA_902799005.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_900320955.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902794475.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_015656755.1,Bos (other)
Methanobrevibacter,S__GCA_902800515.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_902764455.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCF_001477655.1,Ovis (sheep)
Methanobrevibacter,S__GCA_902798335.1,Bos taurus (Cattle)
Methanobrevibacter,S__GCA_015062915.1,Capra (Goat)
Methanobrevibacter,S__GCF_000404165.1,Ovis (sheep)
Methanobrevibacter,S__GCF_002813085.1,Homo sapiens
Methanobrevibacter,S__GCF_000016525.1,Homo sapiens